Spot Integral Intensity File
Grid: 36 by 6, spot diameter 1.000, spot style round
XQN, YQN, XSN, YSN, Attr, UID, Descr, Data Area, Bkg Area, (N of Saturated Pixels, Spot Integral Intensity, Spot Background Integral Intensity) x M
1, 1, 1, 1, 0, NA, NA, 1606, 0, 0, 5.367e+005, 0.000e+000
1, 1, 2, 1, 0, NA, NA, 1606, 0, 0, 3.981e+005, 0.000e+000
1, 1, 3, 1, 0, NA, NA, 1606, 0, 0, 4.422e+005, 0.000e+000
1, 1, 4, 1, 0, NA, NA, 1606, 0, 0, 3.870e+005, 0.000e+000
1, 1, 5, 1, 0, NA, NA, 1606, 0, 0, 4.476e+005, 0.000e+000
1, 1, 6, 1, 0, NA, NA, 1606, 0, 0, 2.853e+005, 0.000e+000
1, 1, 7, 1, 0, NA, NA, 1606, 0, 0, 1.987e+005, 0.000e+000
1, 1, 8, 1, 0, NA, NA, 1606, 0, 0, 1.254e+005, 0.000e+000
1, 1, 9, 1, 0, NA, NA, 1606, 0, 0, 1.427e+005, 0.000e+000
1, 1, 10, 1, 0, NA, NA, 1606, 0, 0, 3.020e+002, 0.000e+000
1, 1, 11, 1, 0, NA, NA, 1606, 0, 0, 5.420e+002, 0.000e+000
1, 1, 12, 1, 0, NA, NA, 1606, 0, 0, 1.497e+003, 0.000e+000
1, 1, 13, 1, 0, NA, NA, 1606, 0, 0, 1.157e+005, 0.000e+000
1, 1, 14, 1, 0, NA, NA, 1606, 0, 0, 4.776e+003, 0.000e+000
1, 1, 15, 1, 0, NA, NA, 1606, 0, 0, 8.277e+003, 0.000e+000
1, 1, 16, 1, 0, NA, NA, 1606, 0, 0, 1.637e+004, 0.000e+000
1, 1, 17, 1, 0, NA, NA, 1606, 0, 0, 1.802e+004, 0.000e+000
1, 1, 18, 1, 0, NA, NA, 1606, 0, 0, 2.921e+004, 0.000e+000
1, 1, 19, 1, 0, NA, NA, 1606, 0, 0, 1.196e+007, 0.000e+000
1, 1, 20, 1, 0, NA, NA, 1606, 0, 0, 1.098e+007, 0.000e+000
1, 1, 21, 1, 0, NA, NA, 1606, 0, 0, 1.287e+007, 0.000e+000
1, 1, 22, 1, 0, NA, NA, 1606, 0, 0, 1.251e+007, 0.000e+000
1, 1, 23, 1, 0, NA, NA, 1606, 0, 0, 1.237e+007, 0.000e+000
1, 1, 24, 1, 0, NA, NA, 1606, 0, 0, 1.320e+007, 0.000e+000
1, 1, 25, 1, 0, NA, NA, 1606, 0, 0, 1.404e+007, 0.000e+000
1, 1, 26, 1, 0, NA, NA, 1606, 0, 0, 1.461e+007, 0.000e+000
1, 1, 27, 1, 0, NA, NA, 1606, 0, 0, 1.473e+007, 0.000e+000
1, 1, 28, 1, 0, NA, NA, 1606, 0, 0, 5.871e+005, 0.000e+000
1, 1, 29, 1, 0, NA, NA, 1606, 0, 0, 3.804e+005, 0.000e+000
1, 1, 30, 1, 0, NA, NA, 1606, 0, 0, 3.423e+005, 0.000e+000
1, 1, 31, 1, 0, NA, NA, 1606, 0, 0, 5.930e+005, 0.000e+000
1, 1, 32, 1, 0, NA, NA, 1606, 0, 0, 6.740e+005, 0.000e+000
1, 1, 33, 1, 0, NA, NA, 1606, 0, 0, 6.164e+005, 0.000e+000
1, 1, 34, 1, 0, NA, NA, 1606, 0, 0, 4.344e+005, 0.000e+000
1, 1, 35, 1, 0, NA, NA, 1606, 0, 0, 3.741e+005, 0.000e+000
1, 1, 36, 1, 0, NA, NA, 1606, 0, 0, 3.199e+005, 0.000e+000
1, 1, 1, 2, 0, NA, NA, 1606, 0, 0, 3.944e+003, 0.000e+000
1, 1, 2, 2, 0, NA, NA, 1606, 0, 0, 5.140e+002, 0.000e+000
1, 1, 3, 2, 0, NA, NA, 1606, 0, 0, 7.210e+002, 0.000e+000
1, 1, 4, 2, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 5, 2, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 6, 2, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 7, 2, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 8, 2, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 9, 2, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 10, 2, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 11, 2, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 12, 2, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 13, 2, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 14, 2, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 15, 2, 0, NA, NA, 1606, 0, 0, 7.000e+000, 0.000e+000
1, 1, 16, 2, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 17, 2, 0, NA, NA, 1606, 0, 0, 8.000e+000, 0.000e+000
1, 1, 18, 2, 0, NA, NA, 1606, 0, 0, 8.404e+003, 0.000e+000
1, 1, 19, 2, 0, NA, NA, 1606, 0, 0, 3.954e+006, 0.000e+000
1, 1, 20, 2, 0, NA, NA, 1606, 0, 0, 4.592e+006, 0.000e+000
1, 1, 21, 2, 0, NA, NA, 1606, 0, 0, 4.497e+006, 0.000e+000
1, 1, 22, 2, 0, NA, NA, 1606, 0, 0, 4.858e+006, 0.000e+000
1, 1, 23, 2, 0, NA, NA, 1606, 0, 0, 5.011e+006, 0.000e+000
1, 1, 24, 2, 0, NA, NA, 1606, 0, 0, 4.912e+006, 0.000e+000
1, 1, 25, 2, 0, NA, NA, 1606, 0, 0, 4.507e+006, 0.000e+000
1, 1, 26, 2, 0, NA, NA, 1606, 0, 0, 5.383e+006, 0.000e+000
1, 1, 27, 2, 0, NA, NA, 1606, 0, 0, 4.811e+006, 0.000e+000
