Spot Integral Intensity File
Grid: 36 by 6, spot diameter 1.300, spot style round
XQN, YQN, XSN, YSN, Attr, UID, Descr, Data Area, Bkg Area, (N of Saturated Pixels, Spot Integral Intensity, Spot Background Integral Intensity) x M
1, 1, 30, 2, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 31, 2, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 32, 2, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 33, 2, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 34, 2, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 35, 2, 0, NA, NA, 2760, 1187, 0, 6.100e+001, 0.000e+000
1, 1, 36, 2, 0, NA, NA, 2760, 1187, 0, 6.760e+002, 0.000e+000
1, 1, 1, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 2, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 3, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 4, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 5, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 6, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 7, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 8, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 9, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 10, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 11, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 12, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 13, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 14, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 15, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 16, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 17, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 18, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 19, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 20, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 21, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 22, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 23, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 24, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 25, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 26, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 27, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 28, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 29, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 30, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 31, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 32, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 33, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 34, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 35, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 36, 3, 0, NA, NA, 2760, 1187, 0, 0.000e+000, 0.000e+000
1, 1, 1, 4, 0, NA, NA, 2760, 1187, 0, 2.642e+005, 0.000e+000
1, 1, 2, 4, 0, NA, NA, 2760, 1187, 0, 2.168e+005, 0.000e+000
1, 1, 3, 4, 0, NA, NA, 2760, 1187, 0, 2.107e+005, 0.000e+000
1, 1, 4, 4, 0, NA, NA, 2760, 1187, 0, 3.054e+005, 0.000e+000
1, 1, 5, 4, 0, NA, NA, 2760, 1187, 0, 2.799e+005, 0.000e+000
1, 1, 6, 4, 0, NA, NA, 2760, 1187, 0, 2.291e+005, 0.000e+000
1, 1, 7, 4, 0, NA, NA, 2760, 1187, 0, 1.701e+005, 0.000e+000
1, 1, 8, 4, 0, NA, NA, 2760, 1187, 0, 1.407e+005, 0.000e+000
1, 1, 9, 4, 0, NA, NA, 2760, 1187, 0, 1.065e+005, 0.000e+000
1, 1, 10, 4, 0, NA, NA, 2760, 1187, 0, 8.337e+005, 0.000e+000
1, 1, 11, 4, 0, NA, NA, 2760, 1187, 0, 6.492e+005, 0.000e+000
1, 1, 12, 4, 0, NA, NA, 2760, 1187, 0, 4.288e+005, 0.000e+000
1, 1, 13, 4, 0, NA, NA, 2760, 1187, 0, 4.636e+005, 0.000e+000
1, 1, 14, 4, 0, NA, NA, 2760, 1187, 0, 2.963e+005, 0.000e+000
1, 1, 15, 4, 0, NA, NA, 2760, 1187, 0, 2.688e+005, 0.000e+000
1, 1, 16, 4, 0, NA, NA, 2760, 1187, 0, 1.641e+005, 0.000e+000
1, 1, 17, 4, 0, NA, NA, 2760, 1187, 0, 1.910e+005, 0.000e+000
1, 1, 18, 4, 0, NA, NA, 2760, 1187, 0, 1.799e+005, 0.000e+000
1, 1, 19, 4, 0, NA, NA, 2760, 1187, 0, 1.225e+006, 0.000e+000
1, 1, 20, 4, 0, NA, NA, 2760, 1187, 0, 1.402e+004, 0.000e+000
1, 1, 21, 4, 0, NA, NA, 2760, 1187, 0, 6.074e+004, 0.000e+000
1, 1, 22, 4, 0, NA, NA, 2760, 1187, 0, 1.595e+004, 0.000e+000
