Spot Integral Intensity File
Grid: 36 by 6, spot diameter 1.100, spot style round
XQN, YQN, XSN, YSN, Attr, UID, Descr, Data Area, Bkg Area, (N of Saturated Pixels, Spot Integral Intensity, Spot Background Integral Intensity) x M
1, 1, 1, 1, 0, NA, NA, 1910, 2619, 0, 2.421e+006, 4.300e+001
1, 1, 2, 1, 0, NA, NA, 1910, 2619, 0, 2.823e+006, 0.000e+000
1, 1, 3, 1, 0, NA, NA, 1910, 2619, 0, 2.681e+006, 0.000e+000
1, 1, 4, 1, 0, NA, NA, 1910, 2619, 0, 3.549e+006, 0.000e+000
1, 1, 5, 1, 0, NA, NA, 1910, 2619, 0, 2.962e+006, 0.000e+000
1, 1, 6, 1, 0, NA, NA, 1910, 2619, 0, 2.946e+006, 0.000e+000
1, 1, 7, 1, 0, NA, NA, 1910, 2619, 0, 3.847e+006, 0.000e+000
1, 1, 8, 1, 0, NA, NA, 1910, 2619, 0, 3.582e+006, 7.230e+002
1, 1, 9, 1, 0, NA, NA, 1910, 2619, 0, 3.174e+006, 2.000e+001
1, 1, 10, 1, 0, NA, NA, 1910, 2619, 0, 1.502e+006, 1.900e+001
1, 1, 11, 1, 0, NA, NA, 1910, 2619, 0, 1.430e+006, 0.000e+000
1, 1, 12, 1, 0, NA, NA, 1910, 2619, 0, 1.448e+006, 0.000e+000
1, 1, 13, 1, 0, NA, NA, 1910, 2619, 0, 9.738e+005, 0.000e+000
1, 1, 14, 1, 0, NA, NA, 1910, 2619, 0, 6.826e+005, 0.000e+000
1, 1, 15, 1, 0, NA, NA, 1910, 2619, 0, 7.754e+005, 0.000e+000
1, 1, 16, 1, 0, NA, NA, 1910, 2619, 0, 6.327e+005, 0.000e+000
1, 1, 17, 1, 0, NA, NA, 1910, 2619, 0, 7.463e+005, 0.000e+000
1, 1, 18, 1, 0, NA, NA, 1910, 2619, 0, 9.776e+005, 3.000e+000
1, 1, 19, 1, 0, NA, NA, 1910, 2619, 0, 2.091e+007, 3.026e+003
1, 1, 20, 1, 0, NA, NA, 1910, 2619, 0, 2.127e+007, 4.765e+003
1, 1, 21, 1, 0, NA, NA, 1910, 2619, 0, 2.113e+007, 2.490e+003
1, 1, 22, 1, 0, NA, NA, 1910, 2619, 0, 2.363e+007, 8.106e+003
1, 1, 23, 1, 0, NA, NA, 1910, 2619, 0, 2.311e+007, 7.846e+003
1, 1, 24, 1, 0, NA, NA, 1910, 2619, 0, 2.444e+007, 2.613e+004
1, 1, 25, 1, 0, NA, NA, 1910, 2619, 0, 2.487e+007, 3.151e+004
1, 1, 26, 1, 0, NA, NA, 1910, 2619, 0, 2.408e+007, 3.219e+004
1, 1, 27, 1, 0, NA, NA, 1910, 2619, 0, 2.409e+007, 1.245e+004
1, 1, 28, 1, 0, NA, NA, 1910, 2619, 0, 1.742e+006, 1.790e+002
1, 1, 29, 1, 0, NA, NA, 1910, 2619, 0, 1.718e+006, 1.150e+002
1, 1, 30, 1, 0, NA, NA, 1910, 2619, 0, 2.037e+006, 4.000e+000
1, 1, 31, 1, 0, NA, NA, 1910, 2619, 0, 1.978e+006, 0.000e+000
1, 1, 32, 1, 0, NA, NA, 1910, 2619, 0, 1.819e+006, 6.800e+001
1, 1, 33, 1, 0, NA, NA, 1910, 2619, 0, 2.189e+006, 0.000e+000
1, 1, 34, 1, 0, NA, NA, 1910, 2619, 0, 1.832e+006, 0.000e+000
1, 1, 35, 1, 0, NA, NA, 1910, 2619, 0, 1.859e+006, 0.000e+000
1, 1, 36, 1, 0, NA, NA, 1910, 2619, 0, 1.623e+006, 0.000e+000
1, 1, 1, 2, 0, NA, NA, 1910, 2619, 0, 3.272e+005, 5.110e+002
1, 1, 2, 2, 0, NA, NA, 1910, 2619, 0, 3.054e+005, 4.300e+001
1, 1, 3, 2, 0, NA, NA, 1910, 2619, 0, 2.673e+005, 2.000e+000
1, 1, 4, 2, 0, NA, NA, 1910, 2619, 0, 1.489e+005, 0.000e+000
1, 1, 5, 2, 0, NA, NA, 1910, 2619, 0, 1.239e+005, 0.000e+000
1, 1, 6, 2, 0, NA, NA, 1910, 2619, 0, 1.089e+005, 0.000e+000
1, 1, 7, 2, 0, NA, NA, 1910, 2619, 0, 8.703e+004, 0.000e+000
1, 1, 8, 2, 0, NA, NA, 1910, 2619, 0, 8.084e+004, 2.700e+002
1, 1, 9, 2, 0, NA, NA, 1910, 2619, 0, 1.051e+005, 3.340e+002
1, 1, 10, 2, 0, NA, NA, 1910, 2619, 0, 3.110e+004, 0.000e+000
1, 1, 11, 2, 0, NA, NA, 1910, 2619, 0, 4.239e+004, 0.000e+000
1, 1, 12, 2, 0, NA, NA, 1910, 2619, 0, 3.548e+004, 0.000e+000
1, 1, 13, 2, 0, NA, NA, 1910, 2619, 0, 1.769e+004, 0.000e+000
1, 1, 14, 2, 0, NA, NA, 1910, 2619, 0, 1.389e+004, 0.000e+000
1, 1, 15, 2, 0, NA, NA, 1910, 2619, 0, 1.579e+004, 0.000e+000
1, 1, 16, 2, 0, NA, NA, 1910, 2619, 0, 2.310e+004, 0.000e+000
1, 1, 17, 2, 0, NA, NA, 1910, 2619, 0, 3.435e+004, 1.020e+002
1, 1, 18, 2, 0, NA, NA, 1910, 2619, 0, 4.359e+004, 2.570e+002
1, 1, 19, 2, 0, NA, NA, 1910, 2619, 0, 8.977e+006, 8.984e+003
1, 1, 20, 2, 0, NA, NA, 1910, 2619, 0, 1.067e+007, 2.094e+004
1, 1, 21, 2, 0, NA, NA, 1910, 2619, 0, 9.953e+006, 1.634e+004
1, 1, 22, 2, 0, NA, NA, 1910, 2619, 0, 1.196e+007, 2.741e+005
1, 1, 23, 2, 0, NA, NA, 1910, 2619, 0, 1.049e+007, 1.452e+004
1, 1, 24, 2, 0, NA, NA, 1910, 2619, 0, 1.106e+007, 4.257e+004
1, 1, 25, 2, 0, NA, NA, 1910, 2619, 0, 7.848e+006, 4.465e+004
1, 1, 26, 2, 0, NA, NA, 1910, 2619, 0, 7.684e+006, 2.606e+004
1, 1, 27, 2, 0, NA, NA, 1910, 2619, 0, 7.163e+006, 1.398e+004
1, 1, 28, 2, 0, NA, NA, 1910, 2619, 0, 1.835e+004, 1.980e+002
1, 1, 29, 2, 0, NA, NA, 1910, 2619, 0, 1.061e+004, 1.400e+001
1, 1, 30, 2, 0, NA, NA, 1910, 2619, 0, 3.117e+003, 0.000e+000
1, 1, 31, 2, 0, NA, NA, 1910, 2619, 0, 3.500e+002, 0.000e+000
1, 1, 32, 2, 0, NA, NA, 1910, 2619, 0, 1.800e+001, 0.000e+000
