Spot Integral Intensity File
Grid: 36 by 6, spot diameter 1.000, spot style round
XQN, YQN, XSN, YSN, Attr, UID, Descr, Data Area, Bkg Area, (N of Saturated Pixels, Spot Integral Intensity, Spot Background Integral Intensity) x M
1, 1, 1, 1, 0, NA, NA, 1606, 0, 0, 8.300e+001, 0.000e+000
1, 1, 2, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 3, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 4, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 5, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 6, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 7, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 8, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 9, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 10, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 11, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 12, 1, 0, NA, NA, 1606, 0, 0, 3.700e+001, 0.000e+000
1, 1, 13, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 14, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 15, 1, 0, NA, NA, 1606, 0, 0, 9.000e+000, 0.000e+000
1, 1, 16, 1, 0, NA, NA, 1606, 0, 0, 0.000e+000, 0.000e+000
1, 1, 17, 1, 0, NA, NA, 1606, 0, 0, 4.000e+000, 0.000e+000
1, 1, 18, 1, 0, NA, NA, 1606, 0, 0, 1.400e+002, 0.000e+000
1, 1, 19, 1, 0, NA, NA, 1606, 0, 0, 1.980e+002, 0.000e+000
1, 1, 20, 1, 0, NA, NA, 1606, 0, 0, 1.452e+003, 0.000e+000
1, 1, 21, 1, 0, NA, NA, 1606, 0, 0, 3.056e+003, 0.000e+000
1, 1, 22, 1, 0, NA, NA, 1606, 0, 0, 3.525e+003, 0.000e+000
1, 1, 23, 1, 0, NA, NA, 1606, 0, 0, 1.092e+003, 0.000e+000
